微藻种类,年份,地点,纬度,经度,培养器直径,培养器高度,流动模式：(1) bubble; (2)split column airlift; (3) internal loop airlift; (4)internal loop airlift with gas separator,容积,最大产量,最大生物浓度,产量,引用（APA格式）
Microalgae Species,Year,Location,Latitude,Longitude,Diameter of the Reactor (m),Height of the Reactor (m),Flow Pattern,Reactor Volume (m3),Max Biomass Productivity (mg/L*day),Max Biomass Concentration (mg/L),Biomass Productivity (mg/L*day),Ref (in APA form)
Porphyridium sp.,1998,"Almería, Spain",36.8333° N,"	2.45° W",0.096,2,internal loop airlift,0.012,552,,552,"Merchuk, J. C., Contreras, A., Garcia, F., & Molina, E. (1998). Studies of mixing in a concentric tube airlift bioreactor with different spargers. Chemical Engineering Science, 53(4), 709-719."
Phaeodactylum tricornutum,1998,"Almería, Spain",36.8333° N,"	2.45° W",0.09,2,internal loop airlift,0.012,480,4000,360,"Contreras, A., García, F., Molina, E., & Merchuk, J. C. (1998). Interaction between CO2‐mass transfer, light availability, and hydrodynamic stress in the growth of Phaeodactylum tricornutum in a concentric tube airlift photobioreactor. Biotechnology and Bioengineering, 60(3), 317-325."
Phaeodactylum tricornutum,2000,"Almería, Spain",36.8333° N,"	2.45° W",0.193,2.03,split column airlift,0.06,369.2307692,4000,369.2307692,"Sánchez Mirón, A., García Camacho, F., Contreras Gómez, A., Grima, E. M., & Chisti, Y. (2000). Bubble‐column and airlift photobioreactors for algal culture. AIChE Journal, 46(9), 1872-1887."
Chaetoceros calcitrans,2005,"Bangkok, Thailand",13.73° N,100.52° E,0.15,0.96,bubble,0.017,614.4,1536,614.4,"Krichnavaruk, S., Loataweesup, W., Powtongsook, S., & Pavasant, P. (2005). Optimal growth conditions and the cultivation of Chaetoceros calcitrans in airlift photobioreactor. Chemical Engineering Journal, 105(3), 91-98."
Chaetoceros calcitrans,2005,"Bangkok, Thailand",13.73° N,100.52° E,0.15,0.96,internal loop airlift,0.017,710.4,1776,710.4,"Krichnavaruk, S., Loataweesup, W., Powtongsook, S., & Pavasant, P. (2005). Optimal growth conditions and the cultivation of Chaetoceros calcitrans in airlift photobioreactor. Chemical Engineering Journal, 105(3), 91-98."
Spirulina platensis,2008,"İzmir, Turkey (University of Ege)",38.4237° N,27.1428° E,0.055,0.75,internal loop airlift,0.0015,221,3240,205.8,"Oncel, S., & Sukan, F. V. (2008). Comparison of two different pneumatically mixed column photobioreactors for the cultivation of Artrospira platensis (Spirulina platensis). Bioresource technology, 99(11), 4755-4760."
Spirulina platensis,2008,"İzmir, Turkey (University of Ege)",38.4237° N,27.1428° E,0.055,0.75,bubble,0.0015,267.1428571,1870,267.1428571,"Oncel, S., & Sukan, F. V. (2008). Comparison of two different pneumatically mixed column photobioreactors for the cultivation of Artrospira platensis (Spirulina platensis). Bioresource technology, 99(11), 4755-4760."
Porphyridium sp.,2000,"Beer Sheva, Israel",31.2520° N,34.7915° E,0.13,1.5,bubble,0.013,588.8888889,5300,588.8888889,"Merchuk, J. C., Gluz, M., & Mukmenev, I. (2000). Comparison of photobioreactors for cultivation of the red microalga Porphyridium sp. Journal of Chemical Technology & Biotechnology: International Research in Process, Environmental & Clean Technology, 75(12), 1119-1126."
Porphyridium sp.,2000,"Beer Sheva, Israel",31.2520° N,34.7915° E,0.13,1.5,internal loop airlift,0.013,611.1111111,5500,611.1111111,"Merchuk, J. C., Gluz, M., & Mukmenev, I. (2000). Comparison of photobioreactors for cultivation of the red microalga Porphyridium sp. Journal of Chemical Technology & Biotechnology: International Research in Process, Environmental & Clean Technology, 75(12), 1119-1126."
